상품번호(스마트스토어),판매자상품코드,채널,결제여부,상품명,스마트스토어전용 상품명,쇼핑윈도전용 상품명,판매상태,전시상태,재고수량,판매가,할인가(PC),판매자즉시할인(PC),관리자즉시할인(PC),할인가(모바일),판매자즉시할인(모바일),관리자즉시할인값(모바일),옵션,추가상품,상품속성,최소구매수량,최대구매수량,복수구매할인,포인트(상품구매),포인트(상품구매/관리자),포인트(텍스트리뷰 작성),포인트(포토/동영상리뷰 작성),포인트(한달사용 텍스트리뷰 작성),포인트(한달사용 포토/동영상리뷰 작성),포인트(톡톡친구/스토어찜고객 리뷰 작성),무이자할부,사은품,묶음배송,배송비유형,배송비결제방식,기본배송비,반품배송비,교환배송비,무료반품보험,네이버쇼핑 등록(스마트스토어),네이버쇼핑 등록(쇼핑윈도),대분류,중분류,소분류,세분류,제조사명,브랜드명,브랜드ID,모델명,브랜드인증,자체제작,맞춤제작,인증정보,판매자바코드,판매자 내부코드1,판매자 내부코드2,대표이미지 URL,판매시작일,판매종료일,모바일 미리보기 생성일,상품등록일,최종수정일
5531340580,,스마트스토어,Y,더리빙 이동식 12cm 틈새수납장 3단 / 4단 틈새선반 주방 욕실 세탁실 탈부착바퀴,N,-,판매중,전시중,1900,13500,11500,2000원,,11500,2000원,,Y,N,Y,,,,,1.0%,30,30,30,30,0,,,,구간별,선결제,2500,2500,5000,N,Y,-,생활/건강,수납/정리용품,선반/진열대,이동식선반/진열대,더리빙,더리빙,,더리빙 틈새수납장 3단/4단,,N,N,N,http://domeggook.com/9578323,0220660422,,http://shop1.phinf.naver.net/20210417_51/1618642238256pEgm4_JPEG/19778017978785095_663834762.jpg,,,,2021-04-17 16:02:01,2021-06-23 21:29:16
5531317742,,스마트스토어,Y,더리빙 폴딩박스 접이식 수납박스 뚜껑형 튼튼한 플라스틱정리함 트렁크 캠핑용 화이트 그레이,N,-,판매중,전시중,15998,14500,10900,3600원,,10900,3600원,,Y,N,Y,,,,,1.0%,30,30,30,30,0,,,,구간별,선결제,2500,2500,5000,N,Y,-,생활/건강,수납/정리용품,정리함,소품정리함,더리빙,더리빙,,더리빙 폴딩박스,,N,N,N,http://domeggook.com/9893181,0220660422,,http://shop1.phinf.naver.net/20210417_244/1618640391063dCB3E_JPEG/19776289576604591_1783255263.jpg,,,,2021-04-17 15:36:48,2021-06-23 21:15:15
5528050227,,스마트스토어,Y,헤이즈 폴딩카트 스마트한 쇼핑도우미 바퀴달린 쇼핑카트,N,-,판매중,전시중,130,64900,49900,15000원,,49900,15000원,,Y,N,Y,,,,,1.0%,30,30,30,30,0,,,,수량별,선결제,2500,3000,6000,N,Y,-,생활/건강,생활용품,생활잡화,핸드카트,HEYS INTERNATIONAL,HEYS INTERNATIONAL,,폴딩 쇼핑카트,,N,N,N,http://domeggook.com/12462801,,,http://shop1.phinf.naver.net/20210417_121/1618644285227RTTTi_JPEG/19780183936794680_708406527.jpg,,,,2021-04-16 01:01:13,2021-06-23 21:14:35
5527989930,,스마트스토어,Y,소형 5핀 USB충전식 무선 캠핑 무드등 미니선풍기 탁상용 캠핑용 사무실용,N,-,판매중,전시중,18000,25900,19900,6000원,,19900,6000원,,Y,N,Y,,,,,1.0%,30,30,30,30,0,,,,유료,선결제,3000,3000,6000,N,Y,-,디지털/가전,계절가전,선풍기,탁상형선풍기,삼우힐링라이프,삼우힐링라이프,,소형 usb 충전식 무선 캠핑 미니 탁상용선풍기,,N,N,Y,http://domeggook.com/13351680,01049400477,,http://shop1.phinf.naver.net/20210415_31/1618498105370U0IVT_JPEG/19633885087047239_1713945304.JPG,,,,2021-04-16 00:14:42,2021-06-23 21:13:49
5470265806,,스마트스토어,Y,사임당 컬러링북 색칠북 파버카스텔 20색 색연필 집콕 취미 타임킬링,N,-,판매중,전시중,899,63900,49500,14400원,,49500,14400원,,N,N,Y,,,,,1.0%,30,30,30,30,0,,,,유료,선결제,2500,2500,5000,N,Y,-,도서,유아,정가제free,스티커북/색칠북,,,,,,N,N,N,http://domeggook.com/12038441,주식회사 신우아이앤씨,010-7689-9731,http://shop1.phinf.naver.net/20210321_247/16163384694408e0SE_JPEG/17474358137860123_480986840.jpg,,,,2021-03-22 00:10:42,2021-06-23 22:20:36
5468568998,,스마트스토어,Y,국내산 잘우러나는 호박팥차 100T/1팩 건강식품 늙은 호박 우엉 팥 옐로 푸드,N,-,판매중,전시중,8999,22900,17900,5000원,,17900,5000원,,N,N,Y,,,,,1.0%,30,30,30,30,0,,,,유료,선결제,2500,2500,5000,N,Y,-,식품,음료,차류,기타차,신비인터내셔널,참좋은데이,248210,,,N,N,N,http://domeggook.com/12847027,고객센터 1588 8101,,http://shop1.phinf.naver.net/20210320_216/1616240129944LyF6v_JPEG/17376025679804869_1249822285.jpg,,,,2021-03-20 20:37:21,2021-06-23 22:21:28
5468561815,,스마트스토어,Y,참향긋한 참좋은데이 캐모마일 50T/1팩 릴렉스 건강한 허브차,N,-,판매중,전시중,8999,9100,7100,2000원,,7100,2000원,,N,N,Y,,,,,1.0%,30,30,30,30,0,,,,유료,선결제,2500,2500,5000,N,Y,-,식품,음료,차류,허브차,신비인터내셔널,참좋은데이,248210,,,N,N,N,http://domeggook.com/8750143,고객센터 1588 8101,,http://shop1.phinf.naver.net/20210320_250/1616239603497sliay_JPEG/17375438333873857_1836761338.jpg,,,,2021-03-20 20:30:44,2021-06-23 22:22:02
5468538381,,스마트스토어,Y,국내산 잘우러나는 호박팥차 50T/1팩 건강식품 늙은 호박 우엉 옐로 푸드,N,-,판매중,전시중,8999,12300,9300,3000원,,9300,3000원,,N,N,Y,,,,,1.0%,30,30,30,30,0,,,,유료,선결제,2500,2500,5000,N,Y,-,식품,음료,차류,기타차,신비인터내셔널,참좋은데이,248210,,,N,N,N,http://domeggook.com/12847024,고객센터 1588 8101,,http://shop1.phinf.naver.net/20210320_160/1616238219742Mh3lX_JPEG/17374062448286817_285729860.jpg,,,,2021-03-20 20:17:27,2021-06-23 22:22:42
5468390390,,스마트스토어,Y,참좋은데이 베트남산 곤약쌀 (쌀모양곤약) 곤약미 1kg 포만감 저칼로리 다이어트,N,-,판매중,전시중,8999,19500,15500,4000원,,15500,4000원,,N,N,N,,,,,1.0%,30,30,30,30,0,,,,유료,선결제,2500,2500,5000,N,Y,-,식품,다이어트식품,곤약,곤약쌀,신비인터내셔널,참좋은데이,248210,곤약쌀 쌀모양곤약 1Kg 1팩 식이섬유 비빔밥 김밥 주먹밥,,N,N,N,http://domeggook.com/8997289,고객센터 1588 8101,,http://shop1.phinf.naver.net/20210320_14/1616233826183YFI0U_JPEG/17369659993095799_894776001.jpg,,,,2021-03-20 18:58:55,2021-06-23 22:23:15
5452862190,,스마트스토어,Y,리빙듀오 대용량 비타민 샤워기헤드 정수필터 녹물제거,N,-,판매중,전시중,7998,24900,20900,4000원,,20900,4000원,,Y,N,Y,,,,,1.0%,30,30,30,30,0,,,,유료,선결제,2500,2500,5000,N,Y,-,생활/건강,욕실용품,샤워기/수전용품,샤워기,리빙듀오,리빙듀오,,리빙듀오 리빙듀오 대용량 비타민 샤워기헤드 정수필터샤워기,,N,N,N,http://domeggook.com/10214477,누리플러스 070-4618-4469,,http://shop1.phinf.naver.net/20210313_70/1615624883243CXNUC_JPEG/16760718077521055_548586176.jpg,,,,2021-03-13 17:57:01,2021-06-23 22:23:52
5452827733,,스마트스토어,Y,리빙듀오 대용량 세디필터 리필4개 비타민 정수필터 샤워기 녹물제거,N,-,판매중,전시중,8999,14300,11900,2400원,,11900,2400원,,N,N,Y,,,,,1.0%,30,30,30,30,0,,,,유료,선결제,2500,2500,5000,N,Y,-,생활/건강,욕실용품,샤워기/수전용품,녹물제거/샤워기필터,리빙듀오,리빙듀오,,대용량 비타민 샤워기 - 세디필터 리필4개 MDT7733,,N,N,N,http://domeggook.com/10214486,누리플러스 070-4618-4469,,http://shop1.phinf.naver.net/20210313_269/1615623917431McrFm_JPEG/16759760143716964_421062265.jpg,,,,2021-03-13 17:38:25,2021-06-23 22:24:22
5452738829,,스마트스토어,Y,3M 새니타이저 9270겔 손소독제 쓰리엠 블루 500ml 식당 손세정제,N,-,판매중,전시중,999,17500,13500,4000원,,13500,4000원,,N,N,Y,,,,,1.0%,30,30,30,30,0,,,,유료,선결제,2500,2500,5000,N,Y,-,생활/건강,생활용품,세제/세정제,손소독제,엘시시,3M,1463,새니타이저 손소독제 9270겔 500ml,,N,N,N,http://domeggook.com/13119995,대통유통 - 010-6352-6494,,http://shop1.phinf.naver.net/20210313_52/1615619317401UWKzy_JPEG/16755213137850960_521426059.jpg,,,,2021-03-13 16:41:06,2021-06-23 22:24:49
5440076376,,스마트스토어,Y,스타일온 2구 붕어빵 팬 홈베이킹 간식 만들기,N,-,판매중,전시중,799,17990,13990,4000원,,13990,4000원,,N,N,N,,,,,1.0%,30,30,30,30,0,,,,유료,선결제,2500,2500,5000,N,Y,-,생활/건강,주방용품,제과/제빵용품,와플팬,스타일온,스타일온,,bk17020871,,N,N,N,http://domeggook.com/7712876,스타일온 붕어빵팬,,http://shop1.phinf.naver.net/20210313_108/1615616404133UNPtr_JPEG/16752249843004396_146167029.jpg,,,,2021-03-08 01:23:23,2021-06-23 22:25:23
